timestamp,left_iris_x,left_iris_y,right_iris_x,right_iris_y,iris_center_x,iris_center_y,gaze_screen_x,gaze_screen_y,left_ear,right_ear,blink,head_yaw,head_pitch
1773344257.157037,269.16321563720703,141.36608219146729,349.4039840698242,147.07468700408936,306.88503595863153,145.1678143371679,,,0.3,0.3181,0,5.81,4.77
1773344257.315148,269.4824638366699,142.1879482269287,348.8005676269531,147.73747444152832,307.78762786790355,145.08577313599216,,,0.3137,0.3246,0,5.12,4.25
1773344257.395111,269.1293029785156,141.69068813323975,348.5802459716797,148.0823793411255,308.21448651078117,145.00607737646834,,,0.2983,0.3288,0,7.11,4.67
1773344257.469518,268.6992530822754,139.86064910888672,348.21800231933594,146.18380737304688,308.31214298679095,144.2125377222677,,,0.3066,0.3244,0,6.98,5.17
1773344257.55583,268.2614288330078,140.27682209014893,348.0737075805664,146.39879894256592,308.2543130747894,143.8626468399036,,,0.2813,0.3161,0,6.1,4.04
1773344257.667372,268.1294174194336,140.76979064941406,347.7358856201172,146.54651069641113,308.1256484527838,143.7808483731072,,,0.2946,0.3184,0,5.7,4.91
1773344257.767727,267.91930770874023,141.28538990020752,347.6762161254883,146.83476448059082,307.994493838516,143.892539900024,,,0.2984,0.3208,0,5.06,4.45
1773344257.915965,265.0111999511719,140.35921382904053,345.1419219970703,145.40513134002686,306.827320692758,143.48839297382787,,,0.3099,0.3403,0,3.42,4.79
1773344258.064865,253.80874633789062,131.14468574523926,331.70948791503906,133.16761779785156,301.20003926624076,138.95549649291488,,,0.2827,0.2943,0,-1.26,1.45
1773344258.180428,251.12621688842773,128.1522445678711,327.1698913574219,129.8414068222046,296.37924520891437,134.97202817376404,,,0.2797,0.2978,0,-0.22,1.44
1773344258.309889,249.71742630004883,128.23505973815918,326.44948959350586,129.69769191741943,293.0609303040595,132.56976723537414,,,0.2762,0.2996,0,1.21,2.12
1773344258.526684,250.7918472290039,127.0841474533081,327.31243896484375,129.3030309677124,291.45741542120527,130.81929602542857,,,0.317,0.2997,0,1.07,2.21
1773344258.691414,253.97294235229492,128.97444248199463,331.998291015625,132.24599075317383,292.06869592630716,130.73566426229084,,,0.3332,0.3054,0,3.39,2.48
1773344258.862235,256.09982681274414,130.6538028717041,334.23651123046875,133.96470737457275,293.3084851644269,131.36510060662988,,,0.3131,0.2912,0,3.37,2.76
1773344258.945259,262.99560928344727,131.69711780548096,341.64742279052734,136.57628345489502,296.91369751345104,132.47374061605313,,,0.2905,0.2848,0,3.6,3.19
1773344259.062135,263.34574127197266,133.04477977752686,342.1696472167969,137.2207546234131,299.25129620582453,133.53735124981986,,,0.3029,0.3004,0,4.84,4.07
1773344259.19354,263.43476486206055,134.4992036819458,342.4601058959961,138.51810264587402,300.72975187510605,134.72587201545588,,,0.2949,0.2914,0,6.24,3.63
1773344259.335596,261.4313735961914,132.85905361175537,339.6498718261719,137.43023014068604,300.6541002095363,134.8933799597618,,,0.2889,0.3196,0,8.49,2.64
1773344259.455149,259.5594711303711,132.51613426208496,339.02398681640625,137.50210762023926,300.10915171507725,134.93967635232192,,,0.2994,0.3057,0,9.03,3.06
1773344259.581398,264.3605842590332,134.3701686859131,343.19921112060547,139.6364336013794,301.5774501049741,135.76512626885165,,,0.2965,0.3285,0,8.57,3.17
1773344259.669841,264.5706253051758,135.12370777130127,343.77369689941406,141.86122226715088,302.61533450390243,136.85606176900143,,,0.3143,0.3103,0,9.38,3.82
1773344259.919169,265.34218978881836,137.88087558746338,344.1111526489258,144.5862636566162,303.4598691898903,138.60706491021676,,,0.2904,0.3086,0,9.33,3.72
1773344260.072608,263.45340728759766,144.58844375610352,343.2955627441406,150.24383926391602,303.4257155202818,142.13069555013396,,,0.2937,0.2862,0,6.73,5.6
1773344260.15919,265.30478286743164,144.96467399597168,346.13291931152344,151.00306606292725,304.34296974796007,144.47196534186017,,,0.2952,0.2969,0,6.63,5.16
1773344260.278365,267.71710205078125,145.09114837646484,347.7542190551758,151.40671634674072,305.70004606996747,145.98275214975723,,,0.2946,0.3129,0,7.2,5.13
1773344260.385345,268.45633697509766,145.1775827407837,348.2812728881836,151.30982780456543,306.7675496146367,146.88713339892416,,,0.3064,0.3114,0,7.66,4.96
